Subject,Condition,Trial index,Code block,Trial catches fish,Subject response,FINAL - total mechanisms,FINAL - total shape references,FINAL - abstract shape references,FINAL - concrete shape references,FINAL - total color references,FINAL - abstract color references,FINAL - concrete color references,FINAL - total purple dot references,FINAL - abstract purple dot references,FINAL - concrete purple dot references
user_1595918283622,Describe,1,2,1,Teardrop with circle and triangle.,0,2,0,2,0,0,0,1,0,1
user_1595918283622,Describe,2,2,0,circle with teardrop.,0,2,0,2,0,0,0,0,0,0
user_1595918283622,Describe,3,2,0,diamond with big circle and little circle inside.,0,2,0,2,0,0,0,1,0,1
user_1595918283622,Describe,4,2,1,Oval with plus design.,0,2,0,2,0,0,0,0,0,0
user_1595918283622,Describe,5,2,1,Red circle with purple circle inside and diamond with circle inside.,0,2,0,2,0,0,0,2,0,2
user_1595918283622,Describe,6,2,0,Plus design with circle.,0,2,0,2,0,0,0,0,0,0
user_1595918283622,Describe,7,2,1,diamond with circle inside and diamond at the bottom.,0,2,0,2,0,0,0,1,0,1
user_1595918283622,Describe,8,2,0,triangle with circle inside and oval with circle at the bottom.,0,2,0,2,0,0,0,2,0,2
user_1594324263734,Explain,1,2,1,Because it worked,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,2,2,0,It wasn't the right combination,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,3,2,0,Im not sure,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,4,2,1,Color combination,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,5,2,1,color combination,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,6,2,0,color combination,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,7,2,1,color combination,0,0,0,0,0,0,0,0,0,0
user_1594324263734,Explain,8,2,0,color combination,0,0,0,0,0,0,0,0,0,0
user_1594228812117,Describe,1,2,1,"red on top, yellow cone on bottom. looks like ice cream",0,2,1,1,2,0,2,0,0,0
user_1594228812117,Describe,2,2,0,"green ball, blue water droplet",0,2,0,2,2,0,2,0,0,0
user_1594228812117,Describe,3,2,0,"Yellow diamond, green olive on bottom",0,2,1,1,2,0,2,0,0,0
user_1594228812117,Describe,4,2,1,"Blue oval on top, yellow diamond on bottom",0,2,0,2,2,0,2,0,0,0
user_1594228812117,Describe,5,2,1,"Red on top, green on bottom, but red is really big",0,0,0,0,2,0,2,0,0,0
user_1594228812117,Describe,6,2,0,"Small red ball, looks spikey",0,2,1,1,1,0,1,0,0,0
user_1594228812117,Describe,7,2,1,"Yellow on top, blue on bottom, diamonds",0,2,0,2,2,0,2,0,0,0
user_1594228812117,Describe,8,2,0,"small red, green on top",0,0,0,0,2,0,2,0,0,0
user_1595306786639,Explain,1,2,1,the fish caught on,0,0,0,0,0,0,0,0,0,0
user_1595306786639,Explain,2,2,0,the fish did not catch on,0,0,0,0,0,0,0,0,0,0
user_1595306786639,Explain,3,2,0,the fish didnt catch on,0,0,0,0,0,0,0,0,0,0
user_1595306786639,Explain,4,2,1,the end part was pointy like the first one,0,1,1,0,0,0,0,0,0,0
user_1595306786639,Explain,5,2,1,the end part was pointy like lure combinations 1 and 4,0,1,1,0,0,0,0,0,0,0
user_1595306786639,Explain,6,2,0,the end part was circular,0,1,1,0,0,0,0,0,0,0
user_1595306786639,Explain,7,2,1,the bottom portion was pointy,0,1,1,0,0,0,0,0,0,0
user_1595306786639,Explain,8,2,0,the bottom portion was circular,0,1,1,0,0,0,0,0,0,0
user_1594177409373,Explain,1,2,1,"the fish rarely see color red, some of them might bite it to see what it is",1,0,0,0,1,0,1,0,0,0
user_1594177409373,Explain,2,2,0,"this one is blue, fish might not even see this in the water",1,0,0,0,1,0,1,0,0,0
user_1594177409373,Explain,3,2,0,seems like fish is not attractive to green circle shape,1,1,0,1,1,0,1,0,0,0
user_1594177409373,Explain,4,2,1,"the dot inside might not affect caught, maybe the clove yellow on the bottom attract fish",1,1,0,1,1,0,1,1,0,1
user_1594177409373,Explain,5,2,1,seems like color green would be fine. Maybe red attract fish.,1,0,0,0,2,0,2,0,0,0
user_1594177409373,Explain,6,2,0,maybe the shape does matter. both red and green circle on the bottom didn't get any fish,0,2,0,2,2,0,2,0,0,0
user_1594177409373,Explain,7,2,1,a rectangle on the bottom might attract fish,1,1,0,1,0,0,0,0,0,0
user_1594177409373,Explain,8,2,0,fish don't like circle on the bottom,0,1,0,1,0,0,0,0,0,0
user_1594413803368,Explain,1,2,1,the fish lure has two triangle structures to hook the fish on it.,1,2,0,2,0,0,0,0,0,0
user_1594413803368,Explain,2,2,0,this fish lure does not have any angles to hook fish on it. The circle can help fish escape easily.,1,1,0,1,0,0,0,0,0,0
user_1594413803368,Explain,3,2,0,"the circle might be the hook to attract fish, but the circle does not have angles to hook fish on it.",2,1,0,1,0,0,0,0,0,0
