expt_version,subjID,is_test,is_control,sona_experiment_id,sona_credit_token,sona_survey_code,instruction_start_ts,instruction_end_ts,expt_start_ts,expt_end_ts,evaluation_start_ts,evaluation_end_ts,memory_start_ts,memory_end_ts
2,user_1595363565953,False,False,1889,dc56fda841254cf7b818f6074c925e46,20828,1595363565954,1595363621926,1595363565954,1595364159485,1595364020283,1595364125691,1595364125692,1595364159485
2,user_1594252060457,False,False,1889,dc56fda841254cf7b818f6074c925e46,21753,1594252060457,1594252082023,1594252060457,1594253473641,1594253152220,1594253367585,1594253367585,1594253473640
2,user_1594291642529,False,True,1889,dc56fda841254cf7b818f6074c925e46,35720,1594291642530,1594291671782,1594291642530,1594291985872,1594291918225,1594291966908,1594291966908,1594291985872
2,user_1595893426910,False,False,1889,dc56fda841254cf7b818f6074c925e46,35499,1595893426911,1595893450006,1595893426911,1595893709214,1595893656794,1595893692326,1595893692327,1595893709214
2,user_1595049103990,False,False,1889,dc56fda841254cf7b818f6074c925e46,27381,1595049103990,1595049135456,1595049103990,1595049388711,1595049301119,1595049367532,1595049367532,1595049388710
2,user_1595756172063,False,True,1889,dc56fda841254cf7b818f6074c925e46,33589,1595756172063,1595756205165,1595756172063,1595756617928,1595756537940,1595756587095,1595756587095,1595756617928
2,user_1594317989550,False,True,1889,dc56fda841254cf7b818f6074c925e46,35707,1594317989550,1594318002473,1594317989550,1594318631028,1594318476089,1594318591083,1594318591083,1594318631027
2,user_1594639350641,False,False,1889,dc56fda841254cf7b818f6074c925e46,29738,1594639350642,1594639383810,1594639350641,1594639714503,1594639565168,1594639693106,1594639693106,1594639714503
2,user_1594619634331,False,True,1889,dc56fda841254cf7b818f6074c925e46,23701,1594619634332,1594619643292,1594619634332,1594620061277,1594619944748,1594620036366,1594620036367,1594620061277
2,user_1595903138828,False,True,1889,dc56fda841254cf7b818f6074c925e46,22530,1595903138828,1595903166932,1595903138828,1595903657525,1595903492077,1595903631557,1595903631557,1595903657525
2,user_1594258769877,False,False,1889,dc56fda841254cf7b818f6074c925e46,33294,1594258769877,1594258812892,1594258769877,1594259419318,1594259163866,1594259400675,1594259400676,1594259419318
2,user_1595544043893,False,False,1889,dc56fda841254cf7b818f6074c925e46,28852,1595544043893,1595544049455,1595544043893,1595544255225,1595544223656,1595544246638,1595544246639,1595544255224
2,user_1595489455974,False,False,1889,dc56fda841254cf7b818f6074c925e46,29783,1595489455974,1595489479623,1595489455974,1595489944017,1595489823120,1595489918646,1595489918647,1595489944016
2,user_1595354493134,False,True,1889,dc56fda841254cf7b818f6074c925e46,31911,1595354493134,1595354529850,1595354493134,1595355125856,1595355037893,1595355106754,1595355106755,1595355125855
2,user_1595905281170,False,True,1889,dc56fda841254cf7b818f6074c925e46,30266,1595905281170,1595905314945,1595905281170,1595905887148,1595905736990,1595905853298,1595905853299,1595905887148
2,user_1594540412257,False,False,1889,dc56fda841254cf7b818f6074c925e46,27634,1594540412258,1594540456056,1594540412258,1594541072384,1594540938304,1594541040604,1594541040604,1594541072384
2,user_1594325921897,False,False,1889,dc56fda841254cf7b818f6074c925e46,30235,1594325921898,1594325970355,1594325921898,1594326354417,1594326241299,1594326330635,1594326330636,1594326354417
2,user_1595472309891,False,True,1889,dc56fda841254cf7b818f6074c925e46,28922,1595472309891,1595472336969,1595472309891,1595472912665,1595472798333,1595472897706,1595472897706,1595472912664
2,user_1595290764895,False,False,1889,dc56fda841254cf7b818f6074c925e46,35304,1595290764896,1595290796994,1595290764896,1595291481818,1595291302482,1595291438705,1595291438705,1595291481817
2,user_1595847343533,False,False,1889,dc56fda841254cf7b818f6074c925e46,22885,1595847343533,1595847406456,1595847343533,1595849569621,1595849350006,1595849533433,1595849533434,1595849569620
